CVE_ID,Tag,iscore,,cvss
CVE-2023-48266,directory traversal,2,,8.1
CVE-2023-48297,directory traversal,2,,8.6
CVE-2023-48360,directory traversal,2,,4
CVE-2023-48383,directory traversal,2,,7.5
CVE-2023-48419,directory traversal,2,,10
CVE-2023-48728,xss,7,,9.6
CVE-2023-48730,xss,7,,8.5
CVE-2023-48732,directory traversal,2,,4.3
CVE-2023-48783,directory traversal,2,,5.4
CVE-2023-48864,cookie injection,1,,7.5
CVE-2023-48909,directory traversal,2,,8.8
CVE-2023-49098,directory traversal,2,,3.5
CVE-2023-49099,log forging,3,,3.1
CVE-2023-49121,directory traversal,2,,7.8
CVE-2023-49122,directory traversal,2,,7.8
CVE-2023-49123,directory traversal,2,,7.8
CVE-2023-49124,directory traversal,2,,7.8
CVE-2023-49126,directory traversal,2,,7.8
CVE-2023-49127,directory traversal,2,,7.8
CVE-2023-49128,directory traversal,2,,7.8
CVE-2023-49129,directory traversal,2,,7.8
CVE-2023-49130,directory traversal,2,,7.8
CVE-2023-49131,directory traversal,2,,7.8
CVE-2023-49132,directory traversal,2,,7.8
CVE-2023-49135,directory traversal,2,,4
CVE-2023-49142,directory traversal,2,,4
CVE-2023-49235,directory traversal,2,,9.8
CVE-2023-49236,directory traversal,2,,9.8
CVE-2023-49237,cookie injection,1,,9.8
CVE-2023-49238,log forging,3,,9.8
CVE-2023-4925,directory traversal,2,,4.8
CVE-2023-49251,log forging,3,,8.8
CVE-2023-49252,log forging,3,,7.5
CVE-2023-49253,directory traversal,2,,9.8
CVE-2023-49254,directory traversal,2,,8.8
CVE-2023-49255,log forging,3,,9.8
CVE-2023-49256,directory traversal,2,,7.5
CVE-2023-49257,directory traversal,2,,8.8
CVE-2023-49258,cookie injection,1,,6.1
CVE-2023-49259,cookie injection,1,,7.5
CVE-2023-49260,directory traversal,2,,6.1
CVE-2023-49261,log forging,3,,7.5
CVE-2023-49262,directory traversal,2,,9.8
CVE-2023-49295,directory traversal,2,,6.4
CVE-2023-49394,directory traversal,2,,6.1
CVE-2023-49427,log forging,3,,7.5
CVE-2023-49442,directory traversal,2,,9.8
CVE-2023-49471,directory traversal,2,,8.8
CVE-2023-49549,log forging,3,,7.5
CVE-2023-49550,log forging,3,,7.5
CVE-2023-49551,log forging,3,,7.5
CVE-2023-49552,log forging,3,,7.5
CVE-2023-49553,log forging,3,,7.5
CVE-2023-49554,log forging,3,,5.5
CVE-2023-49555,log forging,3,,5.5
CVE-2023-49556,log forging,3,,5.5
CVE-2023-49557,log forging,3,,5.5
CVE-2023-49558,log forging,3,,5.5
CVE-2023-49589,directory traversal,2,,8.8
CVE-2023-49599,log forging,3,,9.8
CVE-2023-4960,cookie injection,1,,6.4
CVE-2023-49619,rce,5,,3.1
CVE-2023-4962,cookie injection,1,,6.4
CVE-2023-49621,directory traversal,2,,9.8
CVE-2023-49622,rce,5,,9.8
CVE-2023-49624,rce,5,,9.8
CVE-2023-49625,rce,5,,9.8
CVE-2023-49633,rce,5,,9.8
CVE-2023-49639,rce,5,,9.8
CVE-2023-49647,directory traversal,2,,8.8
CVE-2023-49658,rce,5,,9.8
